i,t,rho,beta,power,flux,s_Fuel,s_Precursors,s_Structure,s_Water,s_Xenon
12100,121.000000000025,0.08817770228666143,0.0066617782272534775,3185778.9639081066,3.797101195217203e-07,192.7659232915492,6.1585366936503e-08,1960.8941677404896,41666.66666233901,0.003692385460560679
12200,122.00000000002551,0.08820335960818391,0.006661471066008285,3479503.9911794593,4.147189404334221e-07,192.76592014880978,6.726034116194083e-08,1960.8941677404896,41666.6666619406,0.0036921313942247093
12300,123.00000000002602,0.08823066319436405,0.006661144747263981,3800409.896374738,4.5296742565395543e-07,192.76591671626812,7.34599691994e-08,1960.8941677404896,41666.66666150544,0.0036918610687897736
12400,124.00000000002653,0.08825976595256985,0.00666079754693982,4151028.3525937605,4.947573230152359e-07,192.7659129670993,8.023303184900306e-08,1960.8941677404896,41666.66666103014,0.0036915729813229562
12500,125.00000000002704,0.08829083495202263,0.006660427577703498,4534129.724400273,5.40418829769344e-07,192.7659088719782,8.76328933908388e-08,1960.8941677404896,41666.666660510964,0.0036912654892239075
12600,126.00000000002755,0.08832405275970856,0.006660032774069975,4952746.102625835,5.903133380860117e-07,192.76590439884376,9.571794100210286e-08,1960.8941677404896,41666.666659943876,0.003690936797115101
12700,127.00000000002807,0.0883596189039491,0.0066596108760695405,5410196.6613885015,6.448364573327932e-07,192.76589951264054,1.0455206793346917e-07,1960.8941677404896,41666.66665932442,0.0036905849424778902
12800,128.00000000002856,0.0883977514785033,0.0066591594113491435,5910115.589985555,7.04421343252152e-07,192.7658941750348,1.1420520510784468e-07,1960.8941677404896,41666.66665864773,0.0036902077799099153
12900,129.00000000002765,0.08843868890120828,0.006658675675557649,6456482.883201003,7.695423678304224e-07,192.76588834410276,1.247539063577492e-07,1960.8941677404896,41666.666657908485,0.0036898029638663035
13000,130.00000000002674,0.08848269184289374,0.006658156710850034,7053658.308817017,8.407191678548423e-07,192.7658819739885,1.3628199314616287e-07,1960.8941677404896,41666.6666571009,0.0036893679297324298
13100,131.00000000002584,0.08853004534389385,0.006657599282328399,7706418.91144835,9.185211149617298e-07,192.76587501452872,1.4888126533175075e-07,1960.8941677404896,41666.6666562186,0.0036888998730594453
13200,132.00000000002493,0.08858106113737743,0.006656999852219158,8420000.458074762,1.0035722554920885e-06,192.76586741083898,1.6265228535699005e-07,1960.8941677404896,41666.6666552546,0.0036883957267754425
